category,material,material_cost,labour_hours,labour_rate,quality_score,craftsmanship_complexity,size_scale,season_demand_index,market_reference_price,selling_price
Handloom Textiles,Handspun Cotton,2051.27,54.2,85.0,4.8,1,5,1.19,10486.78,10763.8
Blue Pottery & Ceramics,Porcelain Clay,1807.35,72.3,150.0,3.3,1,1,1.08,18598.95,17573.63
Handloom Textiles,Chanderi Cotton-Silk,1393.7,36.2,100.0,4.1,2,4,1.3,8272.61,8332.5
Handloom Textiles,Handspun Cotton,1370.98,71.8,120.0,5.0,1,1,1.25,15729.49,17044.54
Carved Woodwork,Sheesham Wood,1808.04,41.0,85.0,3.4,5,4,1.13,9593.63,9272.12
Carved Woodwork,Rosewood,2009.45,14.5,200.0,3.5,5,2,0.91,8898.38,7336.72
Blue Pottery & Ceramics,Porcelain Clay,1529.65,66.7,180.0,4.8,2,3,0.98,20844.9,20544.49
Handloom Textiles,Mulberry Silk,323.92,22.7,120.0,4.0,4,4,1.36,5486.26,6409.68
Blue Pottery & Ceramics,Quartz Powder Frit,1106.4,59.7,70.0,4.8,1,5,1.39,7769.54,10116.29
Folk Paintings,Cotton Canvas,2106.73,28.6,180.0,3.8,5,1,1.27,14509.46,14652.67
Blue Pottery & Ceramics,Quartz Powder Frit,356.53,34.9,85.0,4.8,2,2,1.14,5117.47,5348.53
Dhokra & Brass Craft,Recycled Bell Metal Brass,1500.71,5.5,100.0,2.9,1,4,1.11,3337.53,2799.93
Dhokra & Brass Craft,Bronze Alloy,612.64,19.4,70.0,2.9,4,1,0.97,3665.39,2856.43
Folk Paintings,Cotton Canvas,286.55,79.8,70.0,3.2,5,3,1.0,11745.1,9106.21
Handloom Textiles,Handspun Cotton,168.45,39.3,100.0,2.7,3,2,1.16,7069.83,6422.74
Carved Woodwork,Seasoned Teakwood,1049.85,46.1,200.0,2.8,5,3,1.09,18614.1,17099.45
Carved Woodwork,Seasoned Teakwood,141.43,15.0,85.0,4.7,1,1,1.01,2156.51,1904.92
Dhokra & Brass Craft,Copper Brass Blend,127.7,11.0,200.0,3.9,3,1,1.18,4149.13,4066.13
Folk Paintings,Cotton Canvas,2089.13,33.6,150.0,2.9,2,2,0.94,12547.27,9142.56
Handloom Textiles,Chanderi Cotton-Silk,377.12,70.5,150.0,3.6,2,1,1.31,18071.0,18425.79
Blue Pottery & Ceramics,Porcelain Clay,1508.51,23.6,150.0,3.4,1,2,1.33,7421.31,8138.65
Dhokra & Brass Craft,Bronze Alloy,1927.93,13.8,85.0,3.9,3,1,1.14,5527.41,5381.38
Blue Pottery & Ceramics,Quartz Powder Frit,1054.17,19.8,180.0,4.6,4,2,1.16,7758.53,8340.5
Handloom Textiles,Mulberry Silk,738.98,4.4,85.0,3.8,2,4,1.15,1836.42,1742.46
Folk Paintings,Cotton Canvas,1822.89,11.2,180.0,2.8,1,3,1.2,6449.34,5523.66
Carved Woodwork,Seasoned Teakwood,1689.39,16.5,150.0,4.6,5,4,1.29,7547.96,8160.17
Folk Paintings,Tussar Silk Fabric,526.18,10.0,100.0,3.1,5,3,1.04,3052.36,2372.24
Carved Woodwork,Seasoned Teakwood,1826.11,50.0,180.0,3.7,5,1,1.03,19622.32,16881.03
Carved Woodwork,Rosewood,2128.31,76.6,100.0,3.3,2,2,0.95,15612.35,12625.9
Terracotta & Clay,Natural Alluvial Clay,1078.96,57.3,85.0,3.6,3,3,0.94,8552.35,8181.51
Terracotta & Clay,Natural Alluvial Clay,1991.83,56.2,70.0,3.0,3,5,1.28,8518.38,9925.39
Handloom Textiles,Mulberry Silk,1622.1,78.5,85.0,3.7,3,2,0.93,14308.19,11168.89
Terracotta & Clay,Black Clay,1425.05,39.4,200.0,2.6,5,1,1.0,14539.14,13672.21
Blue Pottery & Ceramics,Porcelain Clay,2365.12,39.5,180.0,2.6,3,2,1.16,15254.94,15172.64
Dhokra & Brass Craft,Recycled Bell Metal Brass,266.23,56.6,85.0,4.3,4,1,1.17,9443.65,9522.58
Folk Paintings,Handmade Vasli Paper,1865.61,43.1,150.0,4.0,2,3,1.34,14661.87,15635.96
Dhokra & Brass Craft,Copper Brass Blend,2495.0,30.0,180.0,2.7,5,4,1.21,15296.56,14121.23
Carved Woodwork,Rosewood,1043.86,10.1,200.0,3.6,5,1,1.02,5553.25,4848.93
Folk Paintings,Cotton Canvas,797.07,21.0,70.0,3.2,5,1,0.95,4534.14,3292.4
Terracotta & Clay,Black Clay,2378.91,63.5,100.0,4.0,3,5,1.39,12547.81,16978.32
Carved Woodwork,Seasoned Teakwood,1652.14,49.8,150.0,2.8,3,2,1.09,15211.17,13514.64
Terracotta & Clay,Natural Alluvial Clay,2396.59,66.6,150.0,2.6,1,1,1.36,16257.4,20453.0
Folk Paintings,Handmade Vasli Paper,452.43,65.8,180.0,4.1,5,1,1.2,24592.86,23127.55
Folk Paintings,Handmade Vasli Paper,301.4,70.6,100.0,3.2,5,1,0.92,14722.8,10817.76
Dhokra & Brass Craft,Copper Brass Blend,760.97,22.5,180.0,3.1,5,2,1.17,9321.25,8468.49
Handloom Textiles,Handspun Cotton,2244.64,79.3,85.0,3.7,5,3,1.31,16847.14,18835.89
Dhokra & Brass Craft,Recycled Bell Metal Brass,726.21,70.7,100.0,4.7,4,1,0.98,14500.95,11852.16
Terracotta & Clay,Natural Alluvial Clay,2105.57,56.7,85.0,2.8,3,4,0.98,9954.79,9064.67
Folk Paintings,Tussar Silk Fabric,469.04,66.0,180.0,4.4,4,2,1.04,23710.16,19742.13
Folk Paintings,Tussar Silk Fabric,2454.47,51.6,200.0,3.4,5,3,0.96,25548.94,20070.18
Carved Woodwork,Rosewood,2335.51,10.9,120.0,2.9,4,2,1.37,6339.71,6933.78
Terracotta & Clay,Terracotta Red Clay,1794.74,39.5,180.0,4.1,3,2,1.34,12800.56,16604.41
Handloom Textiles,Chanderi Cotton-Silk,238.82,66.3,200.0,3.7,3,3,1.24,23285.46,23954.97
Blue Pottery & Ceramics,Ceramic Glaze,742.18,79.8,70.0,2.8,1,5,1.25,9302.42,9824.82
Dhokra & Brass Craft,Copper Brass Blend,2381.09,14.6,120.0,4.3,5,3,1.38,8007.86,9392.17
Dhokra & Brass Craft,Recycled Bell Metal Brass,1150.36,27.0,85.0,4.7,2,5,1.0,5874.34,5113.67
Blue Pottery & Ceramics,Porcelain Clay,1221.11,44.8,120.0,3.0,1,5,1.29,9697.75,10544.88
Dhokra & Brass Craft,Bronze Alloy,1363.46,4.4,150.0,2.8,5,4,1.38,3920.45,4069.32
Folk Paintings,Cotton Canvas,1527.95,49.8,120.0,3.6,1,4,0.93,12606.64,8899.08
Folk Paintings,Handmade Vasli Paper,730.96,64.4,100.0,5.0,1,5,0.94,12047.21,9566.41
Folk Paintings,Tussar Silk Fabric,1761.86,69.2,180.0,4.8,3,3,0.95,26160.86,19509.67
Terracotta & Clay,Natural Alluvial Clay,1461.59,4.4,180.0,4.0,4,1,1.18,3380.39,3850.64
Handloom Textiles,Mulberry Silk,160.35,9.1,180.0,3.3,2,2,1.3,2967.28,3068.21
Blue Pottery & Ceramics,Ceramic Glaze,485.31,11.1,100.0,2.8,3,1,1.37,2568.45,2893.44
Blue Pottery & Ceramics,Ceramic Glaze,1593.24,63.3,200.0,4.5,3,4,1.18,22947.72,24350.05
Folk Paintings,Cotton Canvas,1976.87,40.0,200.0,3.8,2,3,1.26,17559.29,18033.5
Terracotta & Clay,Natural Alluvial Clay,1570.1,28.3,180.0,3.3,5,5,1.23,10412.66,12615.94
Dhokra & Brass Craft,Bronze Alloy,130.48,53.3,150.0,5.0,1,3,1.23,13224.22,14171.41
Handloom Textiles,Mulberry Silk,154.18,22.8,120.0,2.9,5,2,1.27,5419.09,5264.41
Carved Woodwork,Seasoned Teakwood,917.16,31.6,120.0,3.8,2,1,1.16,7511.11,7346.01
Blue Pottery & Ceramics,Ceramic Glaze,1526.49,64.1,200.0,3.2,3,2,1.36,23097.85,26486.4
Carved Woodwork,Rosewood,1587.58,51.6,200.0,3.1,2,4,1.35,18992.59,20333.8
Folk Paintings,Cotton Canvas,517.96,68.8,150.0,3.6,4,5,1.12,20808.88,17834.11
Terracotta & Clay,Terracotta Red Clay,310.53,53.2,70.0,4.9,2,3,1.23,5547.48,7300.31
Carved Woodwork,Seasoned Teakwood,653.61,21.1,85.0,2.7,2,5,1.07,3903.14,3293.35
Folk Paintings,Handmade Vasli Paper,1122.75,22.2,100.0,4.9,1,4,1.09,5615.82,4871.8
Carved Woodwork,Seasoned Teakwood,1971.93,57.3,120.0,4.7,4,3,0.96,15395.4,14057.79
Blue Pottery & Ceramics,Ceramic Glaze,218.15,43.9,120.0,2.6,1,3,1.13,8064.64,7385.03
Terracotta & Clay,Black Clay,180.61,14.4,150.0,3.7,3,3,0.91,3364.63,3095.37
Terracotta & Clay,Terracotta Red Clay,2434.9,47.7,200.0,3.8,4,4,0.96,17962.35,17279.77
Blue Pottery & Ceramics,Quartz Powder Frit,307.24,54.8,180.0,4.7,2,1,1.32,15663.71,19035.13
Blue Pottery & Ceramics,Porcelain Clay,1733.46,41.3,70.0,4.6,1,4,0.96,6797.96,6245.16
Folk Paintings,Handmade Vasli Paper,1694.07,47.4,180.0,4.1,2,1,1.33,17997.88,18852.86
Terracotta & Clay,Natural Alluvial Clay,1973.37,46.7,70.0,2.8,2,5,1.28,7208.26,8369.24
Blue Pottery & Ceramics,Ceramic Glaze,2204.5,27.4,150.0,4.5,1,5,1.06,9282.32,9303.62
Carved Woodwork,Sheesham Wood,1038.74,56.6,120.0,3.9,1,1,1.17,11922.3,11821.6
Dhokra & Brass Craft,Copper Brass Blend,487.64,52.5,85.0,3.7,3,5,1.33,8823.62,9273.48
Blue Pottery & Ceramics,Ceramic Glaze,2292.45,65.7,70.0,3.5,2,5,1.02,10612.83,8807.99
Folk Paintings,Cotton Canvas,1817.86,76.6,150.0,4.6,3,5,1.35,24486.46,26239.81
Terracotta & Clay,Black Clay,999.78,18.2,150.0,3.4,2,5,1.21,5128.45,6254.62
Handloom Textiles,Chanderi Cotton-Silk,1368.07,47.7,85.0,4.0,2,2,1.04,8947.24,7953.48
Carved Woodwork,Sheesham Wood,374.96,16.9,200.0,4.6,5,1,1.18,6805.86,7486.29
Terracotta & Clay,Natural Alluvial Clay,1612.23,76.3,200.0,4.1,5,4,1.01,26362.86,26909.97
Terracotta & Clay,Black Clay,1558.57,34.6,150.0,4.8,1,2,1.03,8857.5,9838.79
Carved Woodwork,Rosewood,1695.47,10.4,120.0,2.9,2,5,0.98,4694.83,3688.67
Dhokra & Brass Craft,Bronze Alloy,1224.4,44.2,180.0,2.6,3,4,1.0,16364.06,12043.61
Handloom Textiles,Handspun Cotton,221.46,13.9,100.0,4.0,2,3,1.12,2658.91,2560.43
Handloom Textiles,Chanderi Cotton-Silk,1833.33,4.2,120.0,4.5,4,2,1.07,4207.19,3941.94
Carved Woodwork,Seasoned Teakwood,2243.94,17.8,70.0,3.1,1,4,1.12,5313.43,4898.91
Carved Woodwork,Sheesham Wood,1700.44,8.4,150.0,3.2,2,3,1.17,4721.9,4385.62
Folk Paintings,Cotton Canvas,2485.82,54.0,70.0,5.0,4,4,0.94,12030.37,9326.09
Handloom Textiles,Handspun Cotton,1616.6,61.1,200.0,3.8,1,4,1.07,21792.65,20048.02
Folk Paintings,Handmade Vasli Paper,369.99,78.0,180.0,5.0,4,1,1.32,27667.18,30708.32
Handloom Textiles,Mulberry Silk,702.05,63.7,70.0,4.0,4,4,1.25,9289.89,9473.99
Handloom Textiles,Mulberry Silk,2347.44,45.6,100.0,4.6,2,4,1.34,11397.28,12539.78
Folk Paintings,Tussar Silk Fabric,1982.79,47.2,120.0,4.6,2,4,1.37,13458.35,14875.48
Dhokra & Brass Craft,Bronze Alloy,2204.7,69.8,180.0,2.9,4,1,1.06,27469.78,22592.69
Dhokra & Brass Craft,Bronze Alloy,452.17,20.2,180.0,4.9,2,1,1.19,6970.33,6661.58
Folk Paintings,Handmade Vasli Paper,1547.13,61.9,150.0,3.3,3,1,1.31,19931.12,19516.95
Handloom Textiles,Handspun Cotton,374.66,39.8,120.0,2.8,4,5,1.17,9271.19,8526.26
Handloom Textiles,Chanderi Cotton-Silk,1304.86,36.8,120.0,4.6,5,3,1.21,10726.61,11398.48
Carved Woodwork,Rosewood,447.9,7.7,100.0,3.0,1,2,1.14,1854.25,1745.86
Terracotta & Clay,Black Clay,658.82,14.0,70.0,4.5,3,4,1.21,2355.8,3012.03
Carved Woodwork,Rosewood,633.92,20.9,120.0,3.3,4,4,1.16,5466.94,5133.32
Carved Woodwork,Rosewood,1168.48,18.0,200.0,3.8,5,5,1.28,8642.87,9374.68
Folk Paintings,Tussar Silk Fabric,1087.09,40.1,180.0,4.5,5,2,1.24,16610.18,16925.73
Handloom Textiles,Handspun Cotton,2099.01,51.5,150.0,4.5,5,4,1.09,18420.02,16850.15
Terracotta & Clay,Black Clay,1179.59,68.0,200.0,2.9,4,2,1.06,22169.38,22029.66
Terracotta & Clay,Natural Alluvial Clay,1034.63,38.4,150.0,4.9,1,1,0.95,8917.95,9434.12
Terracotta & Clay,Natural Alluvial Clay,1745.29,36.7,150.0,3.2,2,2,1.03,9969.15,9951.61
Blue Pottery & Ceramics,Porcelain Clay,1169.3,20.5,70.0,2.7,5,3,0.95,4557.52,3768.29
Carved Woodwork,Seasoned Teakwood,1152.72,6.7,70.0,4.4,1,5,1.3,2469.07,2597.49
Folk Paintings,Tussar Silk Fabric,2429.21,75.6,100.0,3.0,3,2,0.95,18380.15,13490.27
Folk Paintings,Cotton Canvas,1929.78,23.4,180.0,2.7,4,1,1.05,11792.22,9448.01
Blue Pottery & Ceramics,Porcelain Clay,577.76,12.3,180.0,3.2,1,1,1.38,4103.89,4895.19
Folk Paintings,Tussar Silk Fabric,2423.74,64.5,120.0,3.7,2,5,1.19,17888.18,16865.24
Carved Woodwork,Sheesham Wood,389.99,29.0,85.0,3.1,1,3,1.18,4346.72,4241.59
Blue Pottery & Ceramics,Quartz Powder Frit,476.11,24.1,120.0,2.8,3,1,1.22,5422.66,5631.33
Terracotta & Clay,Natural Alluvial Clay,1396.52,52.0,180.0,3.7,4,3,1.06,16134.78,16551.75
Folk Paintings,Tussar Silk Fabric,731.78,44.5,150.0,2.9,5,5,1.26,14813.56,13691.67
Dhokra & Brass Craft,Copper Brass Blend,2114.5,59.4,100.0,4.4,1,3,1.05,13108.7,11764.4
Dhokra & Brass Craft,Copper Brass Blend,1747.1,70.2,200.0,4.7,5,2,1.18,30587.51,31101.74
Dhokra & Brass Craft,Recycled Bell Metal Brass,752.52,17.9,85.0,4.1,1,2,1.27,3700.97,3888.8
Folk Paintings,Tussar Silk Fabric,1568.25,56.0,150.0,3.8,4,2,1.28,19139.04,18233.35
Dhokra & Brass Craft,Copper Brass Blend,819.56,70.5,150.0,2.8,5,4,1.26,22076.96,20512.4
Folk Paintings,Tussar Silk Fabric,413.53,54.1,180.0,4.2,5,2,1.21,20303.06,20357.55
Carved Woodwork,Seasoned Teakwood,1503.45,40.0,180.0,4.3,5,2,1.18,15775.0,16125.44
Carved Woodwork,Sheesham Wood,1257.57,49.2,100.0,3.2,4,3,1.15,10748.97,10626.16
Folk Paintings,Handmade Vasli Paper,1988.45,42.8,150.0,2.9,1,1,0.94,14126.2,9848.09
Carved Woodwork,Seasoned Teakwood,1527.71,59.6,100.0,4.3,5,1,1.11,13571.47,13848.09
Dhokra & Brass Craft,Copper Brass Blend,1071.97,67.7,100.0,4.3,2,5,0.99,13370.56,11344.9
Handloom Textiles,Mulberry Silk,889.52,5.0,70.0,4.0,5,1,1.36,2324.1,2593.76
Handloom Textiles,Handspun Cotton,1197.39,40.0,150.0,3.6,5,4,0.97,13495.11,11214.91
Carved Woodwork,Sheesham Wood,1841.61,41.2,70.0,4.5,4,1,0.98,8222.56,7086.97
Carved Woodwork,Seasoned Teakwood,2395.01,8.3,120.0,2.6,4,3,1.04,5900.36,5036.49
Folk Paintings,Cotton Canvas,738.12,61.5,85.0,4.6,4,1,1.14,11453.99,9941.23
Folk Paintings,Tussar Silk Fabric,653.02,59.4,100.0,4.9,5,2,1.31,13186.04,14581.52
Folk Paintings,Handmade Vasli Paper,1276.64,78.4,150.0,4.1,2,5,1.18,22944.49,21793.47
Carved Woodwork,Seasoned Teakwood,522.9,4.7,150.0,3.1,2,1,1.33,1958.5,2101.07
Terracotta & Clay,Natural Alluvial Clay,2452.85,20.5,120.0,4.3,1,1,1.17,6448.12,7546.69
Terracotta & Clay,Terracotta Red Clay,481.17,75.8,70.0,4.2,2,3,1.23,7957.36,9494.07
Folk Paintings,Tussar Silk Fabric,1320.26,65.1,85.0,4.9,3,1,1.0,12610.92,10437.61
Carved Woodwork,Sheesham Wood,1904.94,4.4,150.0,4.1,4,4,1.03,4463.0,3998.23
Handloom Textiles,Handspun Cotton,1435.64,60.8,70.0,2.6,1,3,1.35,8964.33,9053.35
Folk Paintings,Tussar Silk Fabric,1669.41,66.3,85.0,2.7,5,3,1.0,14609.82,12135.08
Carved Woodwork,Sheesham Wood,307.57,30.5,70.0,3.9,5,1,1.1,4427.16,4245.14
Blue Pottery & Ceramics,Ceramic Glaze,1999.69,27.4,100.0,3.4,3,2,0.98,7630.9,6746.8
Folk Paintings,Handmade Vasli Paper,1527.43,5.6,150.0,4.3,3,5,1.12,4356.07,3859.11
Terracotta & Clay,Black Clay,1302.6,77.5,200.0,3.7,5,5,1.26,26254.06,32377.14
Blue Pottery & Ceramics,Ceramic Glaze,2451.07,53.5,100.0,4.2,3,1,0.91,12559.72,10438.58
Folk Paintings,Handmade Vasli Paper,2435.77,28.9,70.0,4.5,2,3,1.28,7847.44,8225.59
Terracotta & Clay,Black Clay,2261.14,53.2,70.0,3.4,2,3,1.34,8229.57,9877.06
Carved Woodwork,Sheesham Wood,323.54,21.5,120.0,4.8,3,2,1.27,4841.65,5540.63
Terracotta & Clay,Black Clay,1582.65,30.1,150.0,4.5,3,3,0.92,8765.37,8270.56
Dhokra & Brass Craft,Copper Brass Blend,503.21,68.9,120.0,5.0,3,4,1.33,15634.68,17819.68
Folk Paintings,Tussar Silk Fabric,594.6,5.6,150.0,3.5,4,4,1.34,2754.43,2874.03
Handloom Textiles,Chanderi Cotton-Silk,709.89,72.9,100.0,2.5,3,3,1.09,13799.81,11903.11
Folk Paintings,Cotton Canvas,628.69,32.4,180.0,3.5,3,4,0.91,11887.67,8491.98
Folk Paintings,Tussar Silk Fabric,388.44,57.5,180.0,4.8,2,3,1.3,18899.65,20053.14
